"published_date",doi,title,authors,affiliations
"November 16th 2019, 00:00:00.000","10.1002/aoc.5298","Green synthesis of catalytic Zinc Oxide nano‐flowers and their bacterial infection therapy","[""Sadeeq Ullah"",""Aftab Ahmad"",""HyonIl Ri"",""Arif Ullah Khan"",""Usman Ali Khan"",""Qipeng Yuan""]","[""Department of Chemical ScienceKim Hyong Jik University of Education Pyongyang Democratic people's Republic of Korea"",""State Key Laboratory of Chemical Resource EngineeringBeijing University of Chemical Technology No. 15 East Road of North Third Ring, Chao Yang District Beijing 100029 China""]"
"November 12th 2019, 00:00:00.000","10.1080/02185385.2019.1683064","Some issues arising in the analysis of the development level of cultural and welfare service","[""Gwang-Nam Rim"",""Sun-Nam Jang"",""Son-Hui Ri""]","[""Head of Statistics department, Faculty of Economics, Kim IlSung university, Pyongyang, Democratic People's Republic of Korea"",""Lecturer of department of Economic Theory history, Faculty of Economics, Kim IL Sung university, Pyongyang, Democratic People's Republic of Korea"",""Lecturer of Trade Economics department, Faculty of Economics, Kim IL Sung university, Pyongyang, Democratic People's Republic of Korea""]"
"November 1st 2019, 00:00:00.000","10.1177/0021828619877965","Comet 27 P/Crommelin Observed in Ancient Korea","[""Jong Yong-Ki"",""Kim Jik-Su"",""Kim Chol-Jun"",""Choe Chol-Min""]","[""Kim Il Sung University, DPR Korea"",""Pyongyang Astronomical Observatory, DPR Korea""]"
"October 31st 2019, 00:00:00.000","10.1080/15320383.2019.1685457","The Influence of Acid Mine Drainage on Distribution Region of Heavy Minerals (Fetio3, ZrSiO4): On Case of DanChon Coast in the Eastern Sea of Korea","[""Dongsu Hyon"",""Ryonghung Kim"",""Seik Jang"",""Ilgyong Kim""]","[""Department of Marine geology, Faculty of Geology, Kim Il Sung University, Pyongyang, Democratic People’s Republic of Korea""]"
"October 23rd 2019, 00:00:00.000","10.1080/10382046.2019.1678276","An investigation on the environmental knowledge and attitudes of senior middle school students in the Democratic People’s Republic of Korea","[""Jin-Hyok Choe"",""Chol-Hyok Kim"",""Gwang-Ho Ri""]","[""Research Institute of Social Sciences, Kim Il Sung University, Pyongyang, Democratic People’s Republic of Korea;"",""Department of Applied Sociology, Kim Il Sung University, Pyongyang, Democratic People’s Republic of Korea""]"
"October 11th 2019, 00:00:00.000","10.1002/jbio.201960106","A modification for the calculation of water depth profiles in oil‐treated skin by in vivo confocal Raman microscopy","[""ChunSik Choe"",""Johannes Schleusener"",""SeHyok Choe"",""Jürgen Lademann"",""Maxim E. Darvin""]","[""Charité – Universitätsmedizin Berlin, Department of DermatologyVenerology and Allergology, Center of Experimental and Applied Cutaneous Physiology Berlin Germany"",""Kim Il Sung University, Ryongnam‐Dong, Taesong District Pyongyang DPR Korea""]"
"October 5th 2019, 00:00:00.000","10.1080/15567036.2019.1672834","An evaluation of alternatives to energy recovery from municipal solid waste part 1: waste flow and energy potential","[""Nam–Chol O"",""Won–Guk Kim"",""Yong–Il Jon"",""Yong-Hyok Ri""]","[""E-Library, KIM IL SUNG University, Pyongyang, The Democratic People’s Republic of Korea"",""Department of Environmental Conservation, Faculty of Global Environmental Science, KIM IL SUNG University, Pyongyang, The Democratic People’s Republic of Korea""]"
"October 3rd 2019, 00:00:00.000","10.1111/1755-6724.14378","New Evidence For Cretaceous Age of The Nonmarine Bivalve Assemblage From The Mesozoic In Paekto‐dong, Sinuiju City, The Democratic People's Republic of Korea","[""CholGuk Won"",""KwangSik So"",""SuHyang Jon""]","[""Department of Paleontology, Faculty of GeologyKim Il Sung University Pyongyang Democratic People's Republic of Korea""]"
"September 25th 2019, 00:00:00.000","10.1080/15567036.2019.1670756","An evaluation of alternatives to energy recovery from municipal solid waste part 2: energy balance and carbon footprint","[""Nam–Chol O"",""Hyo–Song Pak"",""Kum-Chol Om"",""Kwang-Hak Choe""]","[""Department of Environmental Conservation, Faculty of Global Environmental Science, KIM IL SUNG University, Pyongyang, The Democratic People’s Republic of Korea"",""Environmental health department, KIM IL SUNG University, Pyongyang, The Democratic People’s Republic of Korea"",""Department of Meteorology, Faculty of Global Environmental Science, KIM IL SUNG University, Pyongyang, The Democratic People’s Republic of Korea""]"
"September 20th 2019, 00:00:00.000","10.1080/15567036.2019.1667458","Forecasting the self-sufficiency rate of China’s energy by the hybrid gray models","[""Decheng Fan"",""Cholho Pang"",""Jongsu Kim"",""Song Jon"",""Xiaomei Gu""]","[""School of Economics and Management, Harbin Engineering University, Harbin, China"",""Department of Physics, University of Science, Pyongyang, Democratic People’s Republic of Korea"",""Faculty of Life Science, KIM IL SUNG University, Pyongyang, Democratic People’s Republic of Korea"",""Department of Material Engineering, Kimchaek University of Technology, Pyongyang, Democratic People’s Republic of Korea""]"
